MSG_TYPE,NODE_1,NODE_2,SEQTS,HLC,BITMAP,OFFSETS,COUNTERS,NUM_PROCS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,OFFSET_SIZE,COUNTER_SIZE,CLOCK_SIZE,MAX_OFFSET
RECV,10.1.1.5,10.1.1.3,11,3577,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.1,10.1.1.5,11,3410,10001,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,27,0
RECV,10.1.1.1,10.1.1.4,11,3410,10001,0000000000000000000000000000000000000000000000000000000000000000,2,5,100,50,200,20,7,14,2,28,0
RECV,10.1.1.4,10.1.1.2,11,3602,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.1,10.1.1.3,12,3450,10001,0000000000000000000000000000000000000000000000000001010000000000,0,5,100,50,200,20,7,14,0,26,40
SEND,10.1.1.2,10.1.1.5,12,3915,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.3,10.1.1.5,12,3413,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.4,10.1.1.3,12,3735,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.5,10.1.1.2,12,3598,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.3,10.1.1.1,12,3672,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.5,10.1.1.2,12,3915,10010,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,27,0
RECV,10.1.1.5,10.1.1.3,12,3915,10010,0000000000000000000000000000000000000000000000000000000000000000,2,5,100,50,200,20,7,14,2,28,0
RECV,10.1.1.2,10.1.1.5,12,3926,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
RECV,10.1.1.3,10.1.1.4,12,3735,01100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,14,0,26,0
SEND,10.1.1.1,10.1.1.2,13,3695,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,19,0
SEND,10.1.1.2,10.1.1.3,13,4221,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.3,10.1.1.2,13,4177,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.4,10.1.1.2,13,4244,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.5,10.1.1.1,13,4160,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.2,10.1.1.1,13,4233,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.3,10.1.1.2,13,4221,00110,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,14,0,27,0
RECV,10.1.1.2,10.1.1.3,13,4237,00110,0000000000000000000000000000000000000000000000000001111000000000,0,5,100,50,200,20,7,14,0,27,60
RECV,10.1.1.1,10.1.1.5,13,4160,10001,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,28,0
RECV,10.1.1.2,10.1.1.4,13,4244,01110,0000000000000000000000000000000000000000000000000010000110000000,0,5,100,50,200,20,7,21,0,34,67
SEND,10.1.1.1,10.1.1.2,14,4275,00001,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.2,10.1.1.5,14,4574,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.3,10.1.1.1,14,4436,00100,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.4,10.1.1.1,14,4433,01000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
SEND,10.1.1.5,10.1.1.4,14,4511,10000,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.2,10.1.1.1,14,4576,00010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,7,0,20,0
RECV,10.1.1.1,10.1.1.4,14,4433,01001,0000000000000000000000000000000000000000000000000000000000000000,1,5,100,50,200,20,7,14,1,28,0
RECV,10.1.1.1,10.1.1.3,14,4454,01101,0000000000000000000000000000000000000000000001010100100100000000,0,5,100,50,200,20,7,21,0,34,21
RECV,10.1.1.4,10.1.1.5,14,4541,11000,0000000000000000000000000000000000000000000000000000000000011110,0,5,100,50,200,20,7,14,0,27,30
RECV,10.1.1.5,10.1.1.2,14,4574,10010,0000000000000000000000000000000000000000000000000000000000000000,0,5,100,50,200,20,7,14,0,27,0
